tensor[0]: name = output.weight, size = 622329856, offset = 0
tensor[1]: name = output_norm.weight, size = 4096, offset = 622329856
tensor[2]: name = token_embd.weight, size = 622329856, offset = 622333952
tensor[3]: name = blk.0.attn_k.weight, size = 4194304, offset = 1244663808
tensor[4]: name = blk.0.attn_k_norm.weight, size = 512, offset = 1248858112
tensor[5]: name = blk.0.attn_norm.weight, size = 4096, offset = 1248858624
tensor[6]: name = blk.0.attn_output.weight, size = 8388608, offset = 1248862720
tensor[7]: name = blk.0.attn_q.weight, size = 8388608, offset = 1257251328
tensor[8]: name = blk.0.attn_q_norm.weight, size = 512, offset = 1265639936
tensor[9]: name = blk.0.attn_v.weight, size = 4194304, offset = 1265640448
tensor[10]: name = blk.0.ffn_down.weight, size = 12582912, offset = 1269834752
tensor[11]: name = blk.0.ffn_gate.weight, size = 12582912, offset = 1282417664
tensor[12]: name = blk.0.ffn_norm.weight, size = 4096, offset = 1295000576
tensor[13]: name = blk.0.ffn_up.weight, size = 12582912, offset = 1295004672
tensor[14]: name = blk.1.attn_k.weight, size = 4194304, offset = 1307587584
tensor[15]: name = blk.1.attn_k_norm.weight, size = 512, offset = 1311781888
tensor[16]: name = blk.1.attn_norm.weight, size = 4096, offset = 1311782400
tensor[17]: name = blk.1.attn_output.weight, size = 8388608, offset = 1311786496
tensor[18]: name = blk.1.attn_q.weight, size = 8388608, offset = 1320175104
tensor[19]: name = blk.1.attn_q_norm.weight, size = 512, offset = 1328563712
tensor[20]: name = blk.1.attn_v.weight, size = 4194304, offset = 1328564224
tensor[21]: name = blk.1.ffn_down.weight, size = 12582912, offset = 1332758528
tensor[22]: name = blk.1.ffn_gate.weight, size = 12582912, offset = 1345341440
tensor[23]: name = blk.1.ffn_norm.weight, size = 4096, offset = 1357924352
tensor[24]: name = blk.1.ffn_up.weight, size = 12582912, offset = 1357928448
tensor[25]: name = blk.2.attn_k.weight, size = 4194304, offset = 1370511360
tensor[26]: name = blk.2.attn_k_norm.weight, size = 512, offset = 1374705664
tensor[27]: name = blk.2.attn_norm.weight, size = 4096, offset = 1374706176
tensor[28]: name = blk.2.attn_output.weight, size = 8388608, offset = 1374710272
tensor[29]: name = blk.2.attn_q.weight, size = 8388608, offset = 1383098880
tensor[30]: name = blk.2.attn_q_norm.weight, size = 512, offset = 1391487488
tensor[31]: name = blk.2.attn_v.weight, size = 4194304, offset = 1391488000
tensor[32]: name = blk.2.ffn_down.weight, size = 12582912, offset = 1395682304
tensor[33]: name = blk.2.ffn_gate.weight, size = 12582912, offset = 1408265216
tensor[34]: name = blk.2.ffn_norm.weight, size = 4096, offset = 1420848128
tensor[35]: name = blk.2.ffn_up.weight, size = 12582912, offset = 1420852224
tensor[36]: name = blk.3.attn_k.weight, size = 4194304, offset = 1433435136
tensor[37]: name = blk.3.attn_k_norm.weight, size = 512, offset = 1437629440
tensor[38]: name = blk.3.attn_norm.weight, size = 4096, offset = 1437629952
tensor[39]: name = blk.3.attn_output.weight, size = 8388608, offset = 1437634048
tensor[40]: name = blk.3.attn_q.weight, size = 8388608, offset = 1446022656
tensor[41]: name = blk.3.attn_q_norm.weight, size = 512, offset = 1454411264
tensor[42]: name = blk.3.attn_v.weight, size = 4194304, offset = 1454411776
tensor[43]: name = blk.3.ffn_down.weight, size = 12582912, offset = 1458606080
tensor[44]: name = blk.3.ffn_gate.weight, size = 12582912, offset = 1471188992
tensor[45]: name = blk.3.ffn_norm.weight, size = 4096, offset = 1483771904
tensor[46]: name = blk.3.ffn_up.weight, size = 12582912, offset = 1483776000
tensor[47]: name = blk.4.attn_k.weight, size = 4194304, offset = 1496358912
tensor[48]: name = blk.4.attn_k_norm.weight, size = 512, offset = 1500553216
tensor[49]: name = blk.4.attn_norm.weight, size = 4096, offset = 1500553728
tensor[50]: name = blk.4.attn_output.weight, size = 8388608, offset = 1500557824
tensor[51]: name = blk.4.attn_q.weight, size = 8388608, offset = 1508946432
tensor[52]: name = blk.4.attn_q_norm.weight, size = 512, offset = 1517335040
tensor[53]: name = blk.4.attn_v.weight, size = 4194304, offset = 1517335552
